"","env","meristem","asv_name","s.env","s.meristem","index","stat","p.value","prev.env","prev.meristem","sp.env","sp.meristem","Domain","Phylum","Class","Order","Family","Genus","Species"
"655",NA,NA,"ASV4612",NA,NA,NA,NA,NA,NA,NA,0,0,"Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14","67-14",NA
"656",0.120824418666035,0,"ASV4627",1,0,1,0.879175581333965,0.156,1,0,0.0145985401459854,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Rickettsiella",NA
"657",0.191040179975218,0,"ASV4630",1,0,1,0.808959820024783,0.01,1,0,0.0364963503649635,0,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Verruc-01",NA
"658",NA,NA,"ASV4639",NA,NA,NA,NA,NA,NA,NA,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Diplorickettsiaceae",NA
"659",NA,NA,"ASV4643",NA,NA,NA,NA,NA,NA,NA,0,0,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Renibacterium",NA
"660",0.120824418666035,0,"ASV4654",1,0,1,0.879175581333965,0.181,1,0,0.0145985401459854,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","SEEP-SRB1",NA
"661",0.0854357657716761,0,"ASV4666",1,0,1,0.914564234228324,0.409,1,0,0.0072992700729927,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Duganella",NA
"662",NA,NA,"ASV4671",NA,NA,NA,NA,NA,NA,NA,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium",NA
"663",NA,NA,"ASV4673",NA,NA,NA,NA,NA,NA,NA,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Bordetella",NA
"664",0.120824418666035,0,"ASV4678",1,0,1,0.879175581333965,0.16,1,0,0.0145985401459854,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Azoarcus",NA
